Name,Native,Status,"Population
Census
2002-10-09","Population
Census
2010-10-14","Population
Estimate
2015-01-01"
Rutul'skij Rajon [Rutulsky Raion],Рутульский район,District,23503,22926,21804
Šamil'skij Rajon [Shamilsky Raion],Шамильский район,District,26053,28122,28767
Sergokalinskij Rajon [Sergokalinsky Raion],Сергокалинский район,District,29665,27133,27884
Sulejman-Stal'skij Rajon [Suleyman-Stalsky Raion],Сулейман-Стальский район,District,54036,58835,57374
Tabasaranskij Rajon [Tabasaransky Raion],Табасаранский район,District,54732,52886,50486
Tarumovskij Rajon [Tarumovsky Raion],Тарумовский район,District,28587,31683,32507
Tljaratinskij Rajon [Tlyaratinsky Raion],Тляратинский район,District,22108,22165,22882
Uncukul'skij Rajon [Untsukulsky Raion],Унцукульский район,District,27460,29547,30297
Ingušetija [Ingushetia],Республика Ингушетия,Republic,467294,412529,463893
Džejrachskij Rajon [Dzheyrakhsky Raion],Джейрахский район,District,2334,2638,2844
Karabulak,г. Карабулак,City,31279,30961,38422
Magas,г. Магас,City,275,2502,5841
Malgobek,г. Малгобек,City,41876,31018,35462
Malgobekskij Rajon [Malgobeksky Raion],Малгобекский район,District,61617,47754,53633
Nazran' [Nazran],г. Назрань,City,125066,93335,109284
Nazranovskij Rajon [Nazranovsky Raion],Назрановский район,District,85021,87851,96312
Sunženskij Rajon [Sunzhensky Raion],Сунженский район,District,119826,116470,122095
Kabardino-Balkarija [Kabardino-Balkaria],Кабардино-Балкарская Республика,Republic,901494,859939,860709
Baksan,г. Баксан,City with Environs,...,57088,57876
Baksanskij Rajon [Baksansky Raion],Баксанский район,District,...,60970,62269
Čegemskij Rajon [Chegemsky Raion],Чегемский район,District,68335,69092,68970
Čerekskij Rajon [Chereksky Raion],Черекский район,District,25927,26956,27438
Èl'brusskij Rajon [Elbrussky Raion],Эльбрусский район,District,35968,36260,35882
Leskenskij Rajon [Leskensky Raion],Лескенский район,District,...,27840,28745
Majskij Rajon [Maysky Raion],Майский район,District,40051,38625,38518
Nal'čik [Nalchik],г. Нальчик,City with Environs,...,266033,264812
Prochladnenskij Rajon [Prokhladnensky Raion],Прохладненский район,District,46425,45533,45205
Prochladnyj [Prokhladny],г. Прохладный,City,61772,59601,58182
Terskij Rajon [Tersky Raion],Терский район,District,52976,51220,50806
Urvanskij Rajon [Urvansky Raion],Урванский район,District,...,71782,72579
Zol'skij Rajon [Zolsky Raion],Зольский район,District,50634,48939,49427
Karačajevo-Čerkesija [Karachay-Cherkessia],Карачаево-Черкесская Республика,Republic,439470,477859,469060
Abazinskij Rajon [Abazinsky Raion],Абазинский район,District,...,17069,17272
Adyge-Chabl'skij Rajon [Adyge-Khablsky Raion],Адыге-Хабльский район,District,28426,16186,15887
Čerkessk [Cherkessk],г. Черкесск,City,116244,129069,124187
Chabezskij Rajon [Khabezsky Raion],Хабезский район,District,31885,30356,30611
Karačajevsk [Karachayevsk],Карачаевский городской округ,City with Environs,37393,39658,38314
Karačajevskij Rajon [Karachayevsky Raion],Карачаевский район,District,26255,30376,32003
Malokaračajevskij Rajon [Malokarachayevsky Raion],Малокарачаевский район,District,39456,43318,43543
Nogajskij Rajon [Nogaysky Raion],Ногайский район,District,...,15659,15642
Prikubanskij Rajon [Prikubansky Raion],Прикубанский район,District,35547,29343,28885
Urupskij Rajon [Urupsky Raion],Урупский район,District,18654,24404,23421
Ust'-Džegutinskij Rajon [Ust-Dzhegutinsky Raion],Усть-Джегутинский район,District,52196,50641,50005
Zelenčukskij Rajon [Zelenchuksky Raion],Зеленчукский район,District,53414,51780,49290
Severnaja Osetija-Alanija [North Ossetia-Alania],Республика Северная Осетия-Алания,Republic,710275,712980,705270
Alagirskij Rajon [Alagirsky Raion],Алагирский район,District,38581,38830,37260
Ardonskij Rajon [Ardonsky Raion],Ардонский район,District,28831,30685,31588
Digorskij Rajon [Digorsky Raion],Дигорский район,District,20625,19334,18556
Irafskij Rajon [Irafsky Raion],Ирафский район,District,15708,15766,15311
Kirovskij Rajon [Kirovsky Raion],Кировский район,District,26571,27807,27447
Mozdokskij Rajon [Mozdoksky Raion],Моздокский район,District,88634,84682,86621
Pravoberežnyj Rajon [Pravoberezhny Raion],Правобережный район,District,55685,57063,57205
Prigorodnyj Rajon [Prigorodny Raion],Пригородный район,District,102990,108665,105012
Vladikavkaz,г. Владикавказ,City with Environs,332650,330148,326270
Stavropol' [Stavropol],Ставропольский край,Territory (Kraj),2735139,2786281,2799473
Aleksandrovskij Rajon [Alexandrovsky Raion],Александровский район,District,50978,50235,48685
Andropovskij Rajon [Andropovsky Raion],Андроповский район,District,35670,35437,34761
Apanasenkovskij Rajon [Apanasenkovsky Raion],Апанасенковский район,District,36038,33074,31252
Arzgirskij Rajon [Arzgirsky Raion],Арзгирский район,District,28733,26298,25392
Blagodarnenskij Rajon [Blagodarnensky Raion],Благодарненский район,District,66172,62047,59623
Budënnovskij Rajon [Budyonnovsky Raion],Будённовский район,District,119772,117875,116274
Georgijevsk [Georgiyevsk],г. Георгиевск,City,70575,72153,70803
Georgijevskij Rajon [Georgiyevsky Raion],Георгиевский район,District,91371,101367,100886
Gračëvskij Rajon [Grachyovsky Raion],Грачёвский район,District,36110,36272,37185
Ipatovskij Rajon [Ipatovsky Raion],Ипатовский район,District,69268,62751,59579
Izobil'nenskij Rajon [Izobilnensky Raion],Изобильненский район,District,101980,103635,99639
Jessentuki [Yessentuki],г. Ессентуки,City,81758,100996,104288
Kirovskij Rajon [Kirovsky Raion],Кировский район,District,67317,71723,71026
Kislovodsk,г. Кисловодск,City with Environs,135288,135368,136831
Kočubejevskij Rajon [Kochubeyevsky Raion],Кочубеевский район,District,81609,79557,77096
Krasnogvardejskij Rajon [Krasnogvardeysky Raion],Красногвардейский район,District,42008,40957,38547
Kurskij Rajon [Kursky Raion],Курский район,District,52100,54054,53423
Lermontov,г. Лермонтов,City with Environs,25063,24702,24899
Levokumskij Rajon [Levokumsky Raion],Левокумский район,District,44167,41499,40310
Mineralovodskij Rajon [Mineralovodsky Raion],Минераловодский район,District,135677,140905,140995
Neftekumskij Rajon [Neftekumsky Raion],Нефтекумский район,District,70902,68778,64970
Nevinnomyssk,г. Невинномысск,City,132141,118360,117868
Novoaleksandrovskij Rajon [Novoalexandrovsky Raion],Новоалександровский район,District,67065,65477,65556
Novoselickij Rajon [Novoselitsky Raion],Новоселицкий район,District,26613,26697,26169
Petrovskij Rajon [Petrovsky Raion],Петровский район,District,82449,78067,75336
Pjatigorsk [Pyatigorsk],г. Пятигорск,City with Environs,204371,211078,214072
Predgornyj Rajon [Predgorny Raion],Предгорный район,District,104391,106775,108669
Sovetskij Rajon [Sovetsky Raion],Советский район,District,72762,62790,61737
Špakovskij Rajon [Shpakovsky Raion],Шпаковский район,District,108717,123071,135633
Stavropol' [Stavropol],г. Ставрополь,City with Environs,355066,398754,426050
Stepnovskij Rajon [Stepnovsky Raion],Степновский район,District,23315,22192,21471
Trunovskij Rajon [Trunovsky Raion],Труновский район,District,35403,34558,33403
Turkmenskij Rajon [Turkmensky Raion],Туркменский район,District,28045,25948,24183
Železnovodsk [Zheleznovodsk],г. Железноводск,City with Environs,52245,52831,52862
