Name,Native,Status,"Population
Census
2002-10-09","Population
Census
2010-10-14","Population
Estimate
2015-01-01"
Karasukskij Rajon [Karasuksky Raion],Карасукский район,District,48548,46262,44433
Kargatskij Rajon [Kargatsky Raion],Каргатский район,District,22025,18207,16839
Kočenëvskij Rajon [Kochenyovsky Raion],Коченёвский район,District,46378,43850,45079
Kočkovskij Rajon [Kochkovsky Raion],Кочковский район,District,16301,14863,14376
Kol'covo [Koltsovo],пгт. Кольцово,Urban Settlement,9570,12319,14839
Kolyvanskij Rajon [Kolyvansky Raion],Колыванский район,District,25737,24049,24542
Krasnozërskij Rajon [Krasnozyorsky Raion],Краснозёрский район,District,38836,32491,30831
Kujbyševskij Rajon [Kuybyshevsky Raion],Куйбышевский район,District,68234,60765,58748
Kupinskij Rajon [Kupinsky Raion],Купинский район,District,37451,31199,28863
Kyštovskij Rajon [Kyshtovsky Raion],Кыштовский район,District,16427,12399,10966
Masljaninskij Rajon [Maslyaninsky Raion],Маслянинский район,District,27196,24438,23635
Moškovskij Rajon [Moshkovsky Raion],Мошковский район,District,41281,39192,39327
Novosibirsk,г. Новосибирск,City,1425508,1473754,1567087
Novosibirskij Rajon [Novosibirsky Raion],Новосибирский район,District,103477,115572,124049
Ob' [Ob],г. Обь,City with Environs,24567,25456,28450
Ordynskij Rajon [Ordynsky Raion],Ордынский район,District,39209,36708,35664
Severnyj Rajon [Severny Raion],Северный район,District,11835,10687,9892
Suzunskij Rajon [Suzunsky Raion],Сузунский район,District,34917,32592,32505
Tatarskij Rajon [Tatarsky Raion],Татарский район,District,45348,40092,39156
Togučinskij Rajon [Toguchinsky Raion],Тогучинский район,District,65515,60303,58576
Ubinskij Rajon [Ubinsky Raion],Убинский район,District,19300,16297,15094
Ust'-Tarkskij Rajon [Ust-Tarksky Raion],Усть-Таркский район,District,14670,12307,11621
Vengerovskij Rajon [Vengerovsky Raion],Венгеровский район,District,22877,20446,19349
Zdvinskij Rajon [Zdvinsky Raion],Здвинский район,District,18770,16636,15114
Omsk,Омская область,Province (Oblast),2079220,1977665,1978183
Azovskij Nemeckij Nacional'nyj Rajon [Azovsky Nemetsky National Raion],Азовский немецкий национальный район,District,22346,22925,24834
Bol'šerečenskij Rajon [Bolsherechensky Raion],Большереченский район,District,34037,28486,26239
Bol'šeukovskij Rajon [Bolsheukovsky Raion],Большеуковский район,District,9707,8174,7621
Čerlakskij Rajon [Cherlaksky Raion],Черлакский район,District,36356,30344,29405
Gor'kovskij Rajon [Gorkovsky Raion],Горьковский район,District,24718,20807,20290
Isil'kul'skij Rajon [Isilkulsky Raion],Исилькульский район,District,48765,43424,41428
Kalačinskij Rajon [Kalachinsky Raion],Калачинский район,District,46057,41753,39996
Kolosovskij Rajon [Kolosovsky Raion],Колосовский район,District,15763,12803,11720
Kormilovskij Rajon [Kormilovsky Raion],Кормиловский район,District,25989,24726,25306
Krutinskij Rajon [Krutinsky Raion],Крутинский район,District,21287,17408,16112
Ljubinskij Rajon [Lyubinsky Raion],Любинский район,District,42123,37735,38388
Mar'janovskij Rajon [Maryanovsky Raion],Марьяновский район,District,27802,27595,27428
Moskalenskij Rajon [Moskalensky Raion],Москаленский район,District,32053,28968,28338
Muromcevskij Rajon [Muromtsevsky Raion],Муромцевский район,District,28380,23795,22319
Nazyvajevskij Rajon [Nazyvayevsky Raion],Называевский район,District,30666,23987,21848
Nižneomskij Rajon [Nizhneomsky Raion],Нижнеомский район,District,19766,15826,14729
Novovaršavskij Rajon [Novovarshavsky Raion],Нововаршавский район,District,27461,24450,23211
Odesskij Rajon [Odessky Raion],Одесский район,District,18652,17422,17589
Okonešnikovskij Rajon [Okoneshnikovsky Raion],Оконешниковский район,District,17280,14791,13785
Omsk,г. Омск,City,1156849,1154116,1173854
Omskij Rajon [Omsky Raion],Омский район,District,94251,94086,100750
Pavlogradskij Rajon [Pavlogradsky Raion],Павлоградский район,District,21608,20034,19004
Poltavskij Rajon [Poltavsky Raion],Полтавский район,District,24721,21772,21154
Russko-Poljanskij Rajon [Russko-Polyansky Raion],Русско-Полянский район,District,24481,19333,18110
Sargatskij Rajon [Sargatsky Raion],Саргатский район,District,22320,20014,19244
Sedel'nikovskij Rajon [Sedelnikovsky Raion],Седельниковский район,District,12211,10943,10537
Šerbakul'skij Rajon [Sherbakulsky Raion],Шербакульский район,District,25486,21342,20378
Tarskij Rajon [Tarsky Raion],Тарский район,District,49665,46650,45682
Tavričeskij Rajon [Tavrichesky Raion],Таврический район,District,38840,36458,36226
Tevrizskij Rajon [Tevrizsky Raion],Тевризский район,District,18090,15485,14569
Tjukalinskij Rajon [Tyukalinsky Raion],Тюкалинский район,District,31135,26106,24378
Ust'-Išimskij Rajon [Ust-Ishimsky Raion],Усть-Ишимский район,District,16479,13480,12057
Znamenskij Rajon [Znamensky Raion],Знаменский район,District,13876,12427,11654
Tomsk,Томская область,Province (Oblast),1046039,1047394,1074453
Aleksandrovskij Rajon [Alexandrovsky Raion],Александровский район,District,10136,8686,8255
Asinovskij Rajon [Asinovsky Raion],Асиновский район,District,40979,36459,34487
Bakčarskij Rajon [Bakcharsky Raion],Бакчарский район,District,15963,13419,12412
Čainskij Rajon [Chainsky Raion],Чаинский район,District,13888,12920,12026
Kargasokskij Rajon [Kargasoksky Raion],Каргасокский район,District,24756,21814,20025
Kedrovyj [Kedrovy],г. Кедровый,City with Environs,4919,3948,3411
Kolpaševskij Rajon [Kolpashevsky Raion],Колпашевский район,District,48164,41183,38839
Koževnikovskij Rajon [Kozhevnikovsky Raion],Кожевниковский район,District,22582,20967,20526
Krivošeinskij Rajon [Krivosheinsky Raion],Кривошеинский район,District,15848,13285,12491
Molčanovskij Rajon [Molchanovsky Raion],Молчановский район,District,15591,13446,12710
Parabel'skij Rajon [Parabelsky Raion],Парабельский район,District,13533,12595,12382
Pervomajskij Rajon [Pervomaysky Raion],Первомайский район,District,21260,18947,17545
Šegarskij Rajon [Shegarsky Raion],Шегарский район,District,22551,20306,19548
Seversk,г. Северск,City with Environs,115619,115331,114942
Streževoj [Strezhevoy],г. Стрежевой,City,43815,42219,41743
Tegul'detskij Rajon [Teguldetsky Raion],Тегульдетский район,District,8357,6937,6370
Tomsk,г. Томск,City with Environs,487838,546049,586350
Tomskij Rajon [Tomsky Raion],Томский район,District,85888,68652,71754
Verchneketskij Rajon [Verkhneketsky Raion],Верхнекетский район,District,18300,17052,16291
Zyrjanskij Rajon [Zyryansky Raion],Зырянский район,District,16052,13179,12346
Tyva [Tuva],Республика Тыва,Republic,305510,307930,313777
Ak-Dovurak,г. Ак-Довурак,City,12965,109918,13700
Baj-Tajginskij Kožuun [Bay-Tayginsky Raion],Бай-Тайгинский кожуун,District,12321,10803,10534
Barun-Chemčikskij Kožuun [Barun-Khemchiksky Raion],Барун-Хемчикский кожуун,District,12683,12847,12559
Čaa-Chol'skij Kožuun [Chaa-Kholsky Raion],Чаа-Хольский кожуун,District,6532,6036,6087
Čedi-Chol'skij Kožuun [Chedi-Kholsky Raion],Чеди-Хольский кожуун,District,8081,7685,7694
Dzun-Chemčikskij Kožuun [Dzun-Khemchiksky Raion],Дзун-Хемчикский кожуун,District,21361,19918,19607
Èrzinskij Kožuun [Erzinsky Raion],Эрзинский кожуун,District,8022,8280,8324
Kaa-Chemskij Kožuun [Kaa-Khemsky Raion],Каа-Хемский кожуун,District,13071,12279,12048
Kyzyl,г. Кызыл,City,104105,13468,114181
Kyzylskij Kožuun [Kyzylsky Raion],Кызылский кожуун,District,22678,27659,29777
Mongun-Tajginskij Kožuun [Mongun-Tayginsky Raion],Монгун-Тайгинский кожуун,District,5938,5661,5791
Ovjurskij Kožuun [Ovyursky Raion],Овюрский кожуун,District,7930,7022,6807
Pij-Chemskij Kožuun [Piy-Khemsky Raion],Пий-Хемский кожуун,District,11431,10092,9892
Sut-Chol'skij Kožuun [Sut-Kholsky Raion],Сут-Хольский кожуун,District,8430,8029,7948
Tandinskij Kožuun [Tandinsky Raion],Тандинский кожуун,District,13827,12891,13228
Tere-Chol'skij Kožuun [Tere-Kholsky Raion],Тере-Хольский кожуун,District,1835,1882,1875
Tes-Chemskij Kožuun [Tes-Khemsky Raion],Тес-Хемский кожуун,District,8908,8174,8355
Todžinskij Kožuun [Todzhinsky Kozhuun],Тоджинский кожуун,District,5931,6020,6462
Ulug-Chemskij Kožuun [Ulug-Khemsky Raion],Улуг-Хемский кожуун,District,19461,19266,18908
Zabajkal'skij Kraj [Zabaykalsky Krai],Забайкальский край,Territory (Kraj),1155346,1107107,1087452
Aginskij Rajon [Aginsky Raion],Агинский район,District,19750,18687,17440
Aginskoje [Aginskoye],пгт. Агинское,Settlement with Environs,...,15667,17567
Akšinskij Rajon [Akshinsky Raion],Акшинский район,District,12080,10682,9594
Aleksandrovo-Zavodskij Rajon [Alexandrovo-Zavodsky Raion],Александрово-Заводский район,District,10844,8726,7994
Balejskij Rajon [Baleysky Raion],Балейский район,District,24517,20500,19011
Borzinskij Rajon [Borzinsky Raion],Борзинский район,District,56683,51647,48660
Černyševskij Rajon [Chernyshevsky Raion],Чернышевский район,District,38146,35019,33695
Chilokskij Rajon [Khiloksky Raion],Хилокский район,District,33434,31760,29667
Čita [Chita],г. Чита,City with Environs,326944,324942,339929
Čitinskij Rajon [Chitinsky Raion],Читинский район,District,62221,64642,65860
Dul'durginskij Rajon [Duldurginsky Raion],Дульдургинский район,District,15316,15350,14766
Gazimuro-Zavodskij Rajon [Gazimuro-Zavodsky Raion],Газимуро-Заводский район,District,9578,9407,9091
Gornyj [Gorny],пгт. Горный,Urban Settlement,9761,12341,11547
Kalarskij Rajon [Kalarsky Raion],Каларский район,District,9785,9051,8306
Kalganskij Rajon [Kalgansky Raion],Калганский район,District,10303,8771,8126
Karymskij Rajon [Karymsky Raion],Карымский район,District,37920,37161,35926
Krasnočikojskij Rajon [Krasnochikoysky Raion],Красночикойский район,District,21576,19453,18594
Krasnokamenskij Rajon [Krasnokamensky Raion],Краснокаменский район,District,68115,64597,60970
Kyrinskij Rajon [Kyrinsky Raion],Кыринский район,District,16016,13650,13055
Mogočinskij Rajon [Mogochinsky Raion],Могочинский район,District,27225,25508,25315
Mogojtujskij Rajon [Mogoytuysky Raion],Могойтуйский район,District,27386,27463,26784
Nerčinskij Rajon [Nerchinsky Raion],Нерчинский район,District,30694,28455,27483
Nerčinsko-Zavodskij Rajon [Nerchinsko-Zavodsky Raion],Нерчинско-Заводский район,District,12499,10782,9871
Olovjanninskij Rajon [Olovyanninsky Raion],Оловяннинский район,District,49426,43494,37977
Ononskij Rajon [Ononsky Raion],Ононский район,District,13614,11199,10181
Petrovsk-Zabajkal'skij [Petrovsk-Zabaykalsky],г. Петровск-Забайкальский,City,21164,18549,17144
Petrovsk-Zabajkal'skij Rajon [Petrovsk-Zabaykalsky Raion],Петровск-Забайкальский район,District,21110,19351,18033
Priargunskij Rajon [Priargunsky Raion],Приаргунский район,District,26959,21831,20801
Šelopuginskij Rajon [Shelopuginsky Raion],Шелопугинский район,District,9773,8369,7510
Šilkinskij Rajon [Shilkinsky Raion],Шилкинский район,District,47453,43194,40704
Sretenskij Rajon [Sretensky Raion],Сретенский район,District,27524,23311,22271
Tungiro-Olëkminskij Rajon [Tungiro-Olyokminsky Raion],Тунгиро-Олёкминский район,District,1643,1432,1380
Tungokočenskij Rajon [Tungokochensky Raion],Тунгокоченский район,District,14207,12685,12062
Ulëtovskij Rajon [Ulyotovsky Raion],Улётовский район,District,21337,18946,18724
Zabajkal'skij Rajon [Zabaykalsky Raion],Забайкальский район,District,20343,20485,21414
