Name,Native,Status,"Population
Census
2002-10-09","Population
Census
2010-10-14","Population
Estimate
2015-01-01"
Volotovskij Rajon [Volotovsky Raion],Волотовский район,District,6106,5493,5077
Pskov,Псковская область,Province (Oblast),760810,673423,651108
Bežanickij Rajon [Bezhanitsky Raion],Бежаницкий район,District,17547,13264,11192
Dedovičskij Rajon [Dedovichsky Raion],Дедовичский район,District,17881,14692,12976
Dnovskij Rajon [Dnovsky Raion],Дновский район,District,16048,13341,11840
Gdovskij Rajon [Gdovsky Raion],Гдовский район,District,17715,12792,12459
Krasnogorodskij Rajon [Krasnogorodsky Raion],Красногородский район,District,9800,7328,7109
Kun'inskij Rajon [Kunyinsky Raion],Куньинский район,District,12928,10277,9387
Loknjanskij Rajon [Loknyansky Raion],Локнянский район,District,13268,9535,8615
Nevel'skij Rajon [Nevelsky Raion],Невельский район,District,31419,26657,24405
Novorževskij Rajon [Novorzhevsky Raion],Новоржевский район,District,12217,9334,8583
Novosokol'ničeskij Rajon [Novosokolnichesky Raion],Новосокольнический район,District,19389,14776,13548
Opočeckij Rajon [Opochetsky Raion],Опочецкий район,District,23973,18673,16960
Ostrovskij Rajon [Ostrovsky Raion],Островский район,District,36685,31096,29739
Palkinskij Rajon [Palkinsky Raion],Палкинский район,District,10520,8826,8091
Pečorskij Rajon [Pechorsky Raion],Печорский район,District,25300,22123,20930
Pljusskij Rajon [Plyussky Raion],Плюсский район,District,11610,9187,8232
Porchovskij Rajon [Porkhovsky Raion],Порховский район,District,28470,21568,18896
Pskov,г. Псков,City,202780,203279,207571
Pskovskij Rajon [Pskovsky Raion],Псковский район,District,37216,34323,38612
Puškinogorskij Rajon [Pushkinogorsky Raion],Пушкиногорский район,District,11694,9253,8314
Pustoškinskij Rajon [Pustoshkinsky Raion],Пустошкинский район,District,12071,9379,8657
Pytalovskij Rajon [Pytalovsky Raion],Пыталовский район,District,14853,12083,11307
Sebežskij Rajon [Sebezhsky Raion],Себежский район,District,25473,21674,19703
Strugo-Krasnenskij Rajon [Strugo-Krasnensky Raion],Струго-Красненский район,District,16579,13466,11030
Usvjatskij Rajon [Usvyatsky Raion],Усвятский район,District,6360,5598,5071
Velikije Luki [Velikiye Luki],г. Великие Луки,City,104979,98778,95606
Velikolukskij Rajon [Velikoluksky Raion],Великолукский район,District,24035,22121,22275
Vologda,Вологодская область,Province (Oblast),1269568,1202444,1191010
Babajevskij Rajon [Babayevsky Raion],Бабаевский район,District,24930,21944,20150
Babuškinskij Rajon [Babushkinsky Raion],Бабушкинский район,District,14994,13251,12064
Belozerskij Rajon [Belozersky Raion],Белозерский район,District,21648,17271,15752
Čagodoščenskij Rajon [Chagodoshchensky Raion],Чагодощенский район,District,15624,13865,12823
Čerepovec [Cherepovets],г. Череповец,City,311869,312310,318107
Čerepoveckij Rajon [Cherepovetsky Raion],Череповецкий район,District,40871,41025,40000
Charovskij Rajon [Kharovsky Raion],Харовский район,District,20576,16438,15041
Grjazoveckij Rajon [Gryazovetsky Raion],Грязовецкий район,District,41644,35778,33580
Kadujskij Rajon [Kaduysky Raion],Кадуйский район,District,18653,17109,16997
Kičmengsko-Gorodeckij Rajon [Kichmengsko-Gorodetsky Raion],Кичменгско-Городецкий район,District,22187,18485,16616
Kirillovskij Rajon [Kirillovsky Raion],Кирилловский район,District,18627,15877,15223
Meždurečenskij Rajon [Mezhdurechensky Raion],Междуреченский район,District,7641,6112,5716
Nikol'skij Rajon [Nikolsky Raion],Никольский район,District,26461,22414,20571
Njuksenskij Rajon [Nyuksensky Raion],Нюксенский район,District,11714,9777,8944
Šeksninskij Rajon [Sheksninsky Raion],Шекснинский район,District,36007,33375,33211
Sjamženskij Rajon [Syamzhensky Raion],Сямженский район,District,10384,8929,8344
Sokol'skij Rajon [Sokolsky Raion],Сокольский район,District,57993,51399,49735
Tarnogskij Rajon [Tarnogsky Raion],Тарногский район,District,15363,12838,11795
Totemskij Rajon [Totemsky Raion],Тотемский район,District,26392,23885,23083
Ustjuženskij Rajon [Ustyuzhensky Raion],Устюженский район,District,21679,18738,17523
Ust'-Kubinskij Rajon [Ust-Kubinsky Raion],Усть-Кубинский район,District,9350,8094,7912
Vaškinskij Rajon [Vashkinsky Raion],Вашкинский район,District,10002,8089,7202
Velikoustjugskij Rajon [Velikoustyugsky Raion],Великоустюгский район,District,65291,57886,55630
Verchovažskij Rajon [Verkhovazhsky Raion],Верховажский район,District,16346,13898,13133
Vologda,г. Вологда,City with Environs,301633,309290,319408
Vologodskij Rajon [Vologodsky Raion],Вологодский район,District,50956,50438,51930
Vožegodskij Rajon [Vozhegodsky Raion],Вожегодский район,District,18976,16790,15218
Vytegorskij Rajon [Vytegorsky Raion],Вытегорский район,District,31757,27139,25302
