Name,Native,Status,"Population
Census
2002-10-09","Population
Census
2010-10-14","Population
Estimate
2015-01-01"
Degtjarsk [Degtyarsk],г. Дегтярск,City with Environs,...,15567,16031
Gari,Гаринский городской округ,Settlement with Environs,7832,4904,4344
Gornoural'skij [Prigorodny Urban Okrug],Горноуральский городской округ,Settlement with Environs,...,34905,34747
Irbit,г. Ирбит,City,43318,38357,37681
Irbitskoe [Irbitskoye Urban Okrug],Ирбитское муниципальное образование,Settlement with Environs,33350,30331,29267
Ivdel' [Ivdel],Ивдельский городской округ,City with Environs,33395,24519,22468
Jekaterinburg [Yekaterinburg],г. Екатеринбург,City with Environs,1340465,1383179,1461372
Kačkanar [Kachkanar],Качканарский городской округ,City with Environs,46905,43679,42273
Kamenskij [Kamensky Urban Okrug],Каменский городской округ,Settlement with Environs,29669,28111,29374
Kamensk-Ural'skij [Kamensk-Uralsky],г. Каменск-Уральский,City with Environs,187820,176572,172749
Kamyšlov [Kamyshlov],г. Камышлов,City,28914,26870,26573
Kamyšlovskij Rajon [Kamyshlovsky Raion],Камышловский район,District,29048,28162,28574
Karpinsk,г. Карпинск,City with Environs,...,31859,30418
Kirovgrad,Кировградский городской округ,City with Environs,...,27726,27135
Krasnotur'insk [Krasnoturyinsk],г. Краснотурьинск,City with Environs,70694,65062,63790
Krasnoufimsk,г. Красноуфимск,City with Environs,44471,40445,39852
Krasnoufimskij [Krasnoufimsky Urban Okrug],Красноуфимский округ,Settlement with Environs,31581,28077,26633
Krasnoural'sk [Krasnouralsk],г. Красноуральск,City with Environs,29767,25541,24020
Kušva [Kushva],Кушвинский городской округ,City with Environs,...,40796,39459
Lesnoj [Lesnoy],г. Лесной,City with Environs,55909,52476,51339
Machnëvo [Makhnyovo],Махнёвское муниципальное образование,Settlement with Environs,...,7071,6325
Malyševa [Malysheva],Малышевский городской округ,Settlement with Environs,...,11042,10888
Nev'jansk [Nevyansky Urban Okrug],Невьянский городской округ,City with Environs,51601,42742,42276
Nižneserginskij Rajon [Nizhneserginsky Raion],Нижнесергинский район,District,...,44453,41516
Nižnij Tagil [Nizhny Tagil],г. Нижний Тагил,City with Environs,390498,365433,360086
Nižnjaja Salda [Nizhnyaya Salda],г. Нижняя Салда,City with Environs,18503,17939,17656
Nižnjaja Tura [Nizhnyaya Tura],Нижнетуринский городской округ,City with Environs,31256,28000,26654
Novaja Ljalja [Novolyalinsky Urban Okrug],Новолялинский городской округ,City with Environs,26512,23564,22108
Novoural'sk [Novouralsk],Новоуральский городской округ,City with Environs,98609,88308,85292
Pelym,пгт. Пелым,Settlement with Environs,...,4171,3996
Pervoural'sk [Pervouralsk],г. Первоуральск,City with Environs,157763,148896,149279
Polevskoj [Polevskoy],Полевской городской округ,City with Environs,74124,71220,70619
Pyšma [Pyshminsky Urban Okrug],Пышминский городской округ,Settlement with Environs,22519,20614,19748
Reftinskij [Reftinsky],пгт. Рефтинский,Urban Settlement,17968,16496,16205
Revda,г. Ревда,City with Environs,...,63368,63820
Rež [Rezhevsky Urban Okrug],Режевской городской округ,City with Environs,50537,48435,48001
Šalja [Shalinsky Urban Okrug],Шалинский городской округ,Settlement with Environs,26019,20762,20471
Serov,Серовский городской округ,City with Environs,...,108522,106775
Severoural'sk [Severouralsk],Североуральский городской округ,City with Environs,...,44776,42086
Slobodo-Turinskij Rajon [Slobodo-Turinsky Raion],Слободо-Туринский район,District,17034,15091,13661
Sos'va [Sosva],Сосьвинский городской округ,Settlement with Environs,...,16346,14747
Sredneural'sk [Sredneuralsk],г. Среднеуральск,City with Environs,...,20771,22383
Staroutkinsk,пгт. Староуткинск,Settlement with Environs,...,3072,3191
Suchoj Log [Sukhoy Log],Городской округ Сухой Лог,City with Environs,50308,49005,48989
Svobodnyj [Svobodny],пгт. Свободный,Urban Settlement,9667,8198,8403
Sysert' [Sysertsky Urban Okrug],Сысертский городской округ,City with Environs,...,60245,62244
Taborinskij Rajon [Taborinsky Raion],Таборинский район,District,5089,3574,3265
Talica [Talitsky Urban Okrug],Талицкий городской округ,City with Environs,55675,47309,45214
Tavda,Тавдинский городской округ,City with Environs,50278,42306,40292
Tugulym [Tugulymsky Urban Okrug],Тугулымский городской округ,Settlement with Environs,25455,22581,20935
Turinsk [Turinsky Urban Okrug],Туринский городской округ,City with Environs,32540,28274,26568
Ural'skij [Uralsky],пгт. Уральский,Urban Settlement,2311,2444,2447
Verchneje Dubrovo [Verkhneye Dubrovo],пгт. Верхнее Дуброво,Urban Settlement,4673,4791,4983
Verch-Nejvinskij [Verkh-Neyvinsky],пгт. Верх-Нейвинский,Urban Settlement,5242,5098,5217
Verchnij Tagil [Verkhny Tagil],г. Верхний Тагил,City with Environs,...,13570,13050
Verchnjaja Pyšma [Verkhnyaya Pyshma],г. Верхняя Пышма,City with Environs,...,72509,79537
Verchnjaja Salda [Verkhnyaya Salda],Верхнесалдинский городской округ,City with Environs,51195,49527,46962
Verchnjaja Tura [Verkhnyaya Tura],г. Верхняя Тура,City with Environs,...,9502,9253
Verchoturje [Verkhoturye],Верхотурский городской округ,City with Environs,19153,16802,16385
Volčansk [Volchansk],Волчанский городской округ,City with Environs,...,10261,9637
Zarečnyj [Zarechny],г. Заречный,City with Environs,30569,29765,31155
Tjumen' [Tyumen],Тюменская область,Province (Oblast),3264841,3395755,3581293
Abatskij Rajon [Abatsky Raion],Абатский район,District,23566,19837,17437
Armizonskij Rajon [Armizonsky Raion],Армизонский район,District,11027,10064,9371
Aromaševskij Rajon [Aromashevsky Raion],Аромашевский район,District,14175,12202,11072
Belojarskij Rajon [Beloyarsky Raion],Белоярский район,District,28214,30049,29683
Berdjužskij Rajon [Berdyuzhsky Raion],Бердюжский район,District,13019,11490,10958
Berëzovskij Rajon [Beryozovsky Raion],Берёзовский район,District,27170,25744,23862
Chanty-Mansíjsk [Khanty-Mansiysk],г. Ханты-Манси́йск,City,53953,80151,95353
Chanty-Mansijskij Rajon [Khanty-Mansiysky Raion],Ханты-Мансийский район,District,17015,19362,19727
Golyšmanovskij Rajon [Golyshmanovsky Raion],Голышмановский район,District,27907,26747,26129
Gubkinskij [Gubkinsky],г. Губкинский,City,20407,23335,27070
Isetskij Rajon [Isetsky Raion],Исетский район,District,26565,26061,25849
Išim [Ishim],г. Ишим,City,67757,65243,65289
Išimskij Rajon [Ishimsky Raion],Ишимский район,District,34693,31085,30301
Jalutorovsk [Yalutorovsk],г. Ялуторовск,City,36088,36493,38838
Jalutorovskij Rajon [Yalutorovsky Raion],Ялуторовский район,District,15799,14461,14559
Jamal'skij Rajon [Yamalsky Raion],Ямальский район,District,14918,16310,16464
Jarkovskij Rajon [Yarkovsky Raion],Ярковский район,District,25074,23184,22937
Jugorsk [Yugorsk],г. Югорск,City,30285,34067,36327
Jurginskij Rajon [Yurginsky Raion],Юргинский район,District,13475,12313,11786
Kazanskij Rajon [Kazansky Raion],Казанский район,District,23978,22490,22042
Kogalym,г. Когалым,City with Environs,55632,58337,62328
Kondinskij Rajon [Kondinsky Raion],Кондинский район,District,35018,34494,32073
Krasnosel'kupskij Rajon [Krasnoselkupsky Raion],Красноселькупский район,District,6384,6204,6021
Labytnangi,г. Лабытнанги,City,35199,26936,26549
Langepas,г. Лангепас,City,37182,41670,42956
Megion,г. Мегион,City with Environs,54029,56382,56104
Muravlenko,г. Муравленко,City,35926,33391,32786
Nadymskij Rajon [Nadymsky Raion],Надымский район,District,69413,66530,66267
Neftejugansk [Nefteyugansk],г. Нефтеюганск,City,107830,122855,125368
Neftejuganskij Rajon [Nefteyugansky Raion],Нефтеюганский район,District,45354,44815,44709
Nižnetavdinskij Rajon [Nizhnetavdinsky Raion],Нижнетавдинский район,District,24066,23048,23393
Nižnevartovsk [Nizhnevartovsk],г. Нижневартовск,City,239044,251694,268456
Nižnevartovskij Rajon [Nizhnevartovsky Raion],Нижневартовский район,District,33508,35745,35779
Njagan' [Nyagan],г. Нягань,City,57454,54890,56617
Nojabr'sk [Noyabrsk],г. Ноябрьск,City,102949,110620,107129
Novyj Urengoj [Novy Urengoy],г. Новый Уренгой,City,104269,104107,115092
Oktjabr'skij Rajon [Oktyabrsky Raion],Октябрьский район,District,29283,32224,29567
Omutinskij Rajon [Omutinsky Raion],Омутинский район,District,20913,19608,18914
Pokači [Pokachi],г. Покачи,City,17017,17171,17731
Priural'skij Rajon [Priuralsky Raion],Приуральский район,District,7680,14995,15248
Purovskij Rajon [Purovsky Raion],Пуровский район,District,47667,51280,51859
Pyt'-Jach [Pyt-Yakh],г. Пыть-Ях,City,41813,41488,41005
Radužnyj [Raduzhny],г. Радужный,City,47060,43399,42911
Salechard [Salekhard],г. Салехард,City with Environs,37035,42845,48607
Sladkovskij Rajon [Sladkovsky Raion],Сладковский район,District,15052,12264,11106
Sorokinskij Rajon [Sorokinsky Raion],Сорокинский район,District,11801,10254,10037
Sovetskij Rajon [Sovetsky Raion],Советский район,District,44720,48059,48498
Surgut,г. Сургут,City,285027,306675,340845
Surgutskij Rajon [Surgutsky Raion],Сургутский район,District,106624,113515,121816
Šuryškarskij Rajon [Shuryshkarsky Raion],Шурышкарский район,District,9559,9814,9651
Tazovskij Rajon [Tazovsky Raion],Тазовский район,District,15600,16537,17242
Tjumen' [Tyumen],г. Тюмень,City,564180,604816,697037
Tjumenskij Rajon [Tyumensky Raion],Тюменский район,District,93248,107175,115838
Tobol'sk [Tobolsk],г. Тобольск,City with Environs,107494,103583,101781
Tobol'skij Rajon [Tobolsky Raion],Тобольский район,District,23679,22354,21367
Uporovskij Rajon [Uporovsky Raion],Упоровский район,District,20865,20662,20678
Uraj [Uray],г. Урай,City,39585,39457,40361
Uvatskij Rajon [Uvatsky Raion],Уватский район,District,19271,19452,19258
Vagajskij Rajon [Vagaysky Raion],Вагайский район,District,24561,22539,21115
Vikulovskij Rajon [Vikulovsky Raion],Викуловский район,District,18383,16435,15768
Zavodoukovsk [Zavodoukovsky Urban Okrug],Заводоуковский городской округ,City with Environs,48382,46748,46372
