Name,Native,Status,"Population
Census
2002-10-09","Population
Census
2010-10-14","Population
Estimate
2015-01-01"
Sal'skij Rajon [Salsky Raion],Сальский район,District,111118,107795,104184
Semikarakorskij Rajon [Semikarakorsky Raion],Семикаракорский район,District,54125,52833,50192
Šolochovskij Rajon [Sholokhovsky Raion],Шолоховский район,District,29629,27294,26337
Sovetskij Rajon [Sovetsky Raion],Советский район,District,7449,6692,6479
Tacinskij Rajon [Tatsinsky Raion],Тацинский район,District,43251,38464,35920
Taganrog,г. Таганрог,City,281947,257681,253040
Tarasovskij Rajon [Tarasovsky Raion],Тарасовский район,District,32608,29802,28518
Ust'-Doneckij Rajon [Ust-Donetsky Raion],Усть-Донецкий район,District,32479,33647,32216
Verchnedonskoj Rajon [Verkhnedonskoy Raion],Верхнедонской район,District,23327,20441,18612
Vesëlovskij Rajon [Vesyolovsky Raion],Весёловский район,District,26564,26165,25697
Volgodonsk,г. Волгодонск,City,172401,170841,170230
Volgodonskoj Rajon [Volgodonskoy Raion],Волгодонской район,District,30170,33779,34281
Zavetinskij Rajon [Zavetinsky Raion],Заветинский район,District,18508,17250,16859
Zernogradskij Rajon [Zernogradsky Raion],Зерноградский район,District,66481,58757,54686
Zimovnikovskij Rajon [Zimovnikovsky Raion],Зимовниковский район,District,38190,37092,36755
Zverevo,г. Зверево,City with Environs,30893,24119,22121
Volgograd,Волгоградская область,Province (Oblast),2699223,2610161,2557397
Aleksejevskij Rajon [Alexeyevsky Raion],Алексеевский район,District,19189,18166,16632
Bykovskij Rajon [Bykovsky Raion],Быковский район,District,28572,27055,26309
Černyškovskij Rajon [Chernyshkovsky Raion],Чернышковский район,District,18326,16873,16213
Danilovskij Rajon [Danilovsky Raion],Даниловский район,District,19348,16908,15369
Dubovskij Rajon [Dubovsky Raion],Дубовский район,District,31186,30108,30020
Frolovo,г. Фролово,City,41132,39449,38129
Frolovskij Rajon [Frolovsky Raion],Фроловский район,District,16720,14631,14296
Gorodiščenskij Rajon [Gorodishchensky Raion],Городищенский район,District,57308,60188,59928
Ilovlinskij Rajon [Ilovlinsky Raion],Иловлинский район,District,34358,33168,33204
Jelanskij Rajon [Yelansky Raion],Еланский район,District,36212,33064,31026
Kalačëvskij Rajon [Kalachyovsky Raion],Калачёвский район,District,62228,58524,55222
Kamyšin [Kamyshin],г. Камышин,City,127891,119565,113402
Kamyšinskij Rajon [Kamyshinsky Raion],Камышинский район,District,45019,42893,40806
Kikvidzenskij Rajon [Kikvidzensky Raion],Киквидзенский район,District,18860,17669,16803
Kletskij Rajon [Kletsky Raion],Клетский район,District,19541,17858,17924
Kotel'nikovskij Rajon [Kotelnikovsky Raion],Котельниковский район,District,36856,37584,37018
Kotovskij Rajon [Kotovsky Raion],Котовский район,District,38700,34477,32083
Kumylženskij Rajon [Kumylzhensky Raion],Кумылженский район,District,23499,21425,20340
Leninskij Rajon [Leninsky Raion],Ленинский район,District,31483,30375,30766
Michajlovka [Mikhaylovka],г. Михайловка,City with Environs,90498,90003,88790
Nechajevskij Rajon [Nekhayevsky Raion],Нехаевский район,District,17660,15588,14181
Nikolajevskij Rajon [Nikolayevsky Raion],Николаевский район,District,34285,32034,30538
Novoanninskij Rajon [Novoanninsky Raion],Новоаннинский район,District,41611,37306,34743
Novonikolajevskij Rajon [Novonikolayevsky Raion],Новониколаевский район,District,25511,22618,21326
Oktjabr'skij Rajon [Oktyabrsky Raion],Октябрьский район,District,24348,21760,20784
Ol'chovskij Rajon [Olkhovsky Raion],Ольховский район,District,19178,17626,17737
Pallasovskij Rajon [Pallasovsky Raion],Палласовский район,District,47347,43293,41335
Rudnjanskij Rajon [Rudnyansky Raion],Руднянский район,District,19176,17437,16264
Serafimovičskij Rajon [Serafimovichsky Raion],Серафимовичский район,District,27137,25378,24211
Sredneachtubinskij Rajon [Sredneakhtubinsky Raion],Среднеахтубинский район,District,55341,58435,59319
Staropoltavskij Rajon [Staropoltavsky Raion],Старополтавский район,District,23633,20363,19114
Surovikinskij Rajon [Surovikinsky Raion],Суровикинский район,District,38956,37104,34968
Svetlojarskij Rajon [Svetloyarsky Raion],Светлоярский район,District,39384,38355,37197
Urjupinsk [Uryupinsk],г. Урюпинск,City,41960,41590,39171
Urjupinskij Rajon [Uryupinsky Raion],Урюпинский район,District,30615,28775,27322
Volgograd,г. Волгоград,City,1044356,1021215,1017451
Volžskij [Volzhsky],г. Волжский,City,324224,327616,326602
Žirnovskij Rajon [Zhirnovsky Raion],Жирновский район,District,47575,43685,40854
